,0
0,0.03645363200568969
1,0.0200164359542504
2,0.015037738282730374
3,0.015013692684133034
4,0.014252126309109636
5,0.011297125016418375
6,0.008423484280148283
7,0.007061684076740712
8,0.006397246390461153
9,0.007100100432814392
10,0.0075980252334422365
11,0.006708857559993498
12,0.004900974012916163
13,0.003463380494069949
14,0.0029886734790535545
15,0.0028064623061123876
16,0.003128472554408149
17,0.003027722434371069
18,0.0022930280019091884
19,0.0014404885962839673
20,0.0016163617379842264
21,0.0013341092260012258
22,0.0008983541009624212
23,0.0009836629394028244
24,0.0008527247152754637
25,0.0005730851964109136
26,0.000823082321580905
27,0.0008845074795929654
28,0.0006030398395864551
29,0.00036198522314780356
30,0.000383447596252056
31,0.00032496374802154027
32,0.00039701243670288335
33,0.0004920485006620984
34,0.0004458424064373493
35,0.00032082844964047714
36,0.00024023245578409804
37,0.00022501880885150924
38,0.00022478846568885953
39,0.00026617122443099787
40,0.0002702643366047643
41,0.00021901571715717113
42,0.00015230295768080003
43,0.00012773239534639018
44,0.0001115989590363136
45,0.00011754082059691197
46,0.0001293953100716941
47,0.00011647017199633239
48,8.360483729874303e-05
49,6.969845863932537e-05
50,7.373910624304979e-05
51,5.48796909173721e-05
52,5.265926455154609e-05
53,5.5380969366872215e-05
54,4.49208706432958e-05
55,3.800049162203407e-05
56,4.5122923684859834e-05
57,4.08744163950921e-05
58,2.9856719623812078e-05
59,2.834491485490074e-05
60,2.7384705797658498e-05
61,2.355533715288957e-05
62,2.6193225910115425e-05
63,2.692972278717962e-05
64,2.2645777854454626e-05
65,1.808162784437606e-05
66,1.758998663686381e-05
67,1.604319756455558e-05
68,1.536412229193137e-05
69,1.6201928953465834e-05
70,1.5092995053884181e-05
71,1.2486300291576148e-05
72,1.1381252551263172e-05
73,1.1079558040058702e-05
74,9.865387705949877e-06
75,9.491004086418688e-06
76,9.344133212129882e-06
77,8.353803865096553e-06
78,7.587922433832987e-06
79,7.5776159555765335e-06
80,7.095864297493484e-06
81,6.330477964456891e-06
82,5.96325342225344e-06
83,5.637902204070723e-06
84,5.260116340736473e-06
85,5.1855821456689535e-06
86,5.04090403162576e-06
87,4.626946838762495e-06
88,4.206421132221036e-06
89,3.948639050311413e-06
90,3.7324974128659914e-06
91,3.600232253753808e-06
92,3.51450963745389e-06
93,3.325115468814352e-06
94,3.056736815453555e-06
95,2.834839382567271e-06
96,2.6743021875025696e-06
97,2.5444710055066232e-06
98,2.4533111545734344e-06
99,2.3507763593816056e-06
100,2.2029778268948117e-06
101,2.0495369724457476e-06
102,1.927324174411534e-06
103,1.8254567438844225e-06
104,1.7401076325390368e-06
105,1.6657672089346715e-06
106,1.580429259081061e-06
107,1.4842695383924022e-06
108,1.3964464733344666e-06
109,1.3214432169308655e-06
110,1.2542379913974546e-06
111,1.1950009907774439e-06
112,1.1379672873633115e-06
113,1.0769524596356968e-06
114,1.0163122649671519e-06
115,9.616150393316094e-07
116,9.120441649773733e-07
117,8.66706747211311e-07
118,8.249134520243977e-07
119,7.835922526802437e-07
120,7.419864892996725e-07
121,7.025088855260276e-07
122,6.662432441164089e-07
123,6.326824194907646e-07
124,6.015857273952608e-07
125,5.720569201776352e-07
126,5.430181385832601e-07
127,5.148348753631993e-07
128,4.883900298098519e-07
129,4.6378314893594644e-07
130,4.408117290988269e-07
131,4.192141691308483e-07
132,3.9847522817681734e-07
133,3.7838762622170193e-07
134,3.5925745561570696e-07
135,3.413047816992303e-07
136,3.2446476296863855e-07
137,3.0861659105345687e-07
138,2.9357932657245176e-07
139,2.7917548049811366e-07
140,2.6542167673784145e-07
141,2.5242355645856343e-07
142,2.401806783027097e-07
143,2.2862573170074784e-07
144,2.1769273395049183e-07
145,2.0731014205135516e-07
146,1.9744202982320308e-07
147,1.881009284615508e-07
148,1.792804724733527e-07
149,1.7093831134775351e-07
150,1.6303794314986934e-07
151,1.5555721780172504e-07
152,1.4847876520791126e-07
153,1.4179084535990633e-07
154,1.3547545776457728e-07
155,1.2950027253191421e-07
156,1.238363776518018e-07
157,1.1847158064103065e-07
158,1.1340199888846561e-07
159,1.0862078031665342e-07
160,1.0411246698901777e-07
161,9.985268959333289e-08
162,9.581741332533255e-08
163,9.199366723031315e-08
164,8.837870037518464e-08
165,8.49706663778743e-08
166,8.176134990509198e-08
167,7.873512365300607e-08
168,7.587403297130936e-08
169,7.31651647728398e-08
170,7.06033497556108e-08
171,6.818713447116317e-08
172,6.591289547754633e-08
173,6.377211555488763e-08
174,6.175311030162495e-08
175,5.984531487131606e-08
176,5.8042405415832434e-08
177,5.634172530359395e-08
178,5.474111438165784e-08
179,5.323621593866942e-08
180,5.18202055876424e-08
181,5.0485679511298965e-08
182,4.922689412904788e-08
183,4.804050649896567e-08
184,4.692446104795036e-08
185,4.5876260708518976e-08
186,4.4892084661450076e-08
187,4.396724906971747e-08
188,4.309739847310223e-08
189,4.2279367483955397e-08
190,4.1511087191446756e-08
191,4.0790785208844747e-08
192,4.0116237380977684e-08
193,3.9484630946120457e-08
194,3.889301666747515e-08
195,3.833888410932403e-08
196,3.782038517899274e-08
197,3.733609392151925e-08
198,3.688457464140594e-08
199,3.64641245422759e-08
200,3.607284735673776e-08
201,3.5708930510423745e-08
