,0
0,0.01741557344881685
1,0.017415573448816876
2,0.012518684037903505
3,0.008573351708751061
4,0.0073797525369590205
5,0.0058805561553786955
6,0.003962458928491736
7,0.002843442777807958
8,0.002446871467243432
9,0.0018732643971380216
10,0.0013587909192759472
11,0.0011254746850442845
12,0.0009294869816215633
13,0.0006924299410694946
14,0.0005108888128734526
15,0.00042040653731952266
16,0.0003362390905169607
17,0.00025051318148709906
18,0.00019754412939700076
19,0.00016382558136289333
20,0.00012898596773884297
21,9.758055334650921e-05
22,7.758569454660687e-05
23,6.259826075186938e-05
24,4.824893502796818e-05
25,3.735867090433253e-05
26,3.007896096378055e-05
27,2.4109933905145467e-05
28,1.8735864181743905e-05
29,1.4720168886322482e-05
30,1.181054252841799e-05
31,9.307458676418088e-06
32,7.2193142622850816e-06
33,5.715520603210409e-06
34,4.569734900964813e-06
35,3.605104356441749e-06
36,2.83379825102168e-06
37,2.2567960257289083e-06
38,1.794426279250792e-06
39,1.4054216503191416e-06
40,1.1046798345346634e-06
41,8.779134941858189e-07
42,6.964176450263697e-07
43,5.496524894726652e-07
44,4.3655789432434593e-07
45,3.48506030267957e-07
46,2.758624592197964e-07
47,2.171233125075276e-07
48,1.723390075240704e-07
49,1.3803168885758937e-07
50,1.1105106292549344e-07
51,9.033307983458587e-08
52,7.45399880185366e-08
53,6.231512306081962e-08
54,5.3092865075133163e-08
55,4.637639669945175e-08
56,4.154552047549483e-08
57,3.813718746354703e-08
58,3.583606065929951e-08
59,3.4364101914721e-08
60,3.3460868857688677e-08
61,3.291676288078504e-08
