,0
0,0.1482628227373911
1,0.026122899682400266
2,0.013467042566846365
3,0.012152933458500884
4,0.011261608057761396
5,0.010459100648769716
6,0.009730630701354114
7,0.009060279052606403
8,0.008438561155100272
9,0.007860420637635701
10,0.007322978861280674
11,0.006824331501611903
12,0.006362447354846606
13,0.0059346990229877114
14,0.00553813027042003
15,0.00516991285168008
16,0.004827596843487661
17,0.00450912578016359
18,0.004212738164314468
19,0.003936857743438023
20,0.003680019801658752
21,0.0034408408128470216
22,0.003218017847559702
23,0.003010338657165829
24,0.0028166885641674
25,0.0026360490860657957
26,0.0024674897808571513
27,0.0023101572577693148
28,0.0021632647644087384
29,0.0020260840749214454
30,0.0018979398413637904
31,0.001778205678330995
32,0.0016663010575527304
33,0.0015616883466403086
34,0.0014638697215250624
35,0.0013723839895956377
36,0.0012868034958482004
37,0.001206731273984063
38,0.0011317985219328384
39,0.0010616623951087071
40,0.0009960040588966744
41,0.0009345269308481403
42,0.0008769550594529822
43,0.0008230316114371989
44,0.0007725174594755522
45,0.0007251898716089717
46,0.0006808413039343335
47,0.0006392782938040743
48,0.0006003204461322021
49,0.0005637995028617674
50,0.0005295584855953159
51,0.0004974509029708914
52,0.00046734001641388225
53,0.0004390981595610449
54,0.00041260610761466646
55,0.0003877524932425209
56,0.0003644332656778607
57,0.0003425511896622636
58,0.0003220153809666741
59,0.00030274087544787556
60,0.0002846482288997327
61,0.00026766314527098504
62,0.000251716131093448
63,0.00023674217417847597
64,0.00022268044480159492
65,0.00020947401772437765
66,0.00019706961351735646
67,0.00018541735775832124
68,0.00017447055678902128
69,0.00016418548882020484
70,0.00015452120927300492
71,0.00014543936933676096
72,0.00013690404680243652
73,0.00012888158830363054
74,0.00012134046216140024
75,0.00011425112108902015
76,0.00010758587406649764
77,0.00010131876674639837
78,9.542546979909489e-05
79,8.988317464935893e-05
80,8.467049609631763e-05
81,7.976738134569524e-05
82,7.515502501700456e-05
83,7.081578971987683e-05
84,6.673313182201524e-05
85,6.289153205864658e-05
86,5.927643065718389e-05
87,5.587416667446487e-05
88,5.267192126447335e-05
89,4.965766461443795e-05
90,4.6820106305413835e-05
91,4.414864886989473e-05
92,4.1633344334925474e-05
93,3.9264853553893806e-05
94,3.703440814299046e-05
95,3.4933774851366696e-05
96,3.295522220534653e-05
97,3.109148927812964e-05
98,2.9335756445869894e-05
99,2.768161800117899e-05
100,2.612305650281722e-05
